ticker,company_name,trade_date,insider_name,insider_role,transaction_type,shares,price,value_usd,size_bucket,ret_10d
RMT,"ROYCE MICRO-CAP TRUST, INC.",2024-03-21,Gannon Francis D.,Officer,P,2500.0,9.25,23125.0,normal_buy,-0.010752796147133092
CDLX,"Cardlytics, Inc.",2024-03-19,SOSIN CLIFFORD,TenPercentOwner,P,350000.0,14.16,4956000.0,large_buy,-0.05602836457304272
TRDA,"Entrada Therapeutics, Inc.",2024-03-19,KIM PETER S,Director,P,900.0,12.66,11394.0,normal_buy,0.08740162417496844
TRDA,"Entrada Therapeutics, Inc.",2024-03-20,KIM PETER S,Director,P,1128.0,12.66,14280.48,normal_buy,0.035955020862964426
IMRX,Immuneering Corp,2024-03-20,Hall Brett Matthew,Officer,P,7000.0,2.86,20020.0,normal_buy,-0.15467628459803096
DCTH,"DELCATH SYSTEMS, INC.",2024-03-19,Aharon Gil,Director,P,26882.0,3.72,100001.04000000001,large_buy,0.13785038477303058
BRT,BRT Apartments Corp.,2024-03-18,GOULD INVESTORS L P,TenPercentOwner,P,2277.0,16.29,37092.329999999994,normal_buy,0.023672848729732854
BRT,BRT Apartments Corp.,2024-03-19,GOULD INVESTORS L P,TenPercentOwner,P,991.0,16.25,16103.75,normal_buy,0.04802504720127332
MEGI,MainStay CBRE Global Infrastructure Megatrends Term Fund,2024-03-19,"Saba Capital Management, L.P.",TenPercentOwner,P,22144.0,12.3,272371.2,normal_buy,0.004401499964623579
MEGI,MainStay CBRE Global Infrastructure Megatrends Term Fund,2024-03-19,Weinstein Boaz,TenPercentOwner,P,22144.0,12.3,272371.2,normal_buy,0.004401499964623579
IMRX,Immuneering Corp,2024-03-18,BERMAN ANN E,Director,P,57965.0,2.13,123465.45,large_buy,-0.023437478172126713
IMRX,Immuneering Corp,2024-03-18,Feinberg Peter,Director,P,4976.0,3.05,15176.8,normal_buy,-0.023437478172126713
IMRX,Immuneering Corp,2024-03-19,Feinberg Peter,Director,P,25000.0,2.56,64000.0,large_buy,-0.06614779855689035
IMRX,Immuneering Corp,2024-03-18,Feinberg Peter,Director,P,45024.0,2.31,104005.44,large_buy,-0.023437478172126713
FTCI,"FTC Solar, Inc.",2024-03-18,Chatila Ahmad R,Director,P,101800.0,0.49,49882.0,normal_buy,-0.024144847208223852
NVCT,"Nuvectis Pharma, Inc.",2024-03-18,BENTSUR RON,"Director,Officer,TenPercentOwner",P,5000.0,10.29,51449.99999999999,normal_buy,-0.24019136821603304
MCFT,"MasterCraft Boat Holdings, Inc.",2024-03-14,"COLISEUM CAPITAL PARTNERS, L.P.",TenPercentOwner,P,24167.0,20.72,500740.24,normal_buy,0.13819573606907887
MCFT,"MasterCraft Boat Holdings, Inc.",2024-03-14,Shackelton Christopher S,TenPercentOwner,P,24167.0,20.72,500740.24,normal_buy,0.13819573606907887
MCFT,"MasterCraft Boat Holdings, Inc.",2024-03-14,"Coliseum Capital Management, LLC",TenPercentOwner,P,24167.0,20.72,500740.24,normal_buy,0.13819573606907887
MCFT,"MasterCraft Boat Holdings, Inc.",2024-03-14,Gray Adam,TenPercentOwner,P,24167.0,20.72,500740.24,normal_buy,0.13819573606907887
MCFT,"MasterCraft Boat Holdings, Inc.",2024-03-14,"Coliseum Capital, LLC",TenPercentOwner,P,24167.0,20.72,500740.24,normal_buy,0.13819573606907887
MCFT,"MasterCraft Boat Holdings, Inc.",2024-03-18,"COLISEUM CAPITAL PARTNERS, L.P.",TenPercentOwner,P,118620.0,21.84,2590660.8,large_buy,0.06505915991617384
MCFT,"MasterCraft Boat Holdings, Inc.",2024-03-18,Shackelton Christopher S,TenPercentOwner,P,118620.0,21.84,2590660.8,large_buy,0.06505915991617384
MCFT,"MasterCraft Boat Holdings, Inc.",2024-03-18,"Coliseum Capital Management, LLC",TenPercentOwner,P,118620.0,21.84,2590660.8,large_buy,0.06505915991617384
MCFT,"MasterCraft Boat Holdings, Inc.",2024-03-18,Gray Adam,TenPercentOwner,P,118620.0,21.84,2590660.8,large_buy,0.06505915991617384
MCFT,"MasterCraft Boat Holdings, Inc.",2024-03-18,"Coliseum Capital, LLC",TenPercentOwner,P,118620.0,21.84,2590660.8,large_buy,0.06505915991617384
AWRE,AWARE INC /MA/,2024-03-15,Eckel Robert A,"Director,Officer",P,13735.0,1.67,22937.45,large_buy,0.10240968657363703
TLYS,"TILLY'S, INC.",2024-03-14,"Fund 1 Investments, LLC",TenPercentOwner,P,23892.0,7.13,170349.96,normal_buy,-0.055555504045367354
TLYS,"TILLY'S, INC.",2024-03-14,Pleasant Lake Partners LLC,TenPercentOwner,P,23892.0,7.13,170349.96,normal_buy,-0.055555504045367354
TLYS,"TILLY'S, INC.",2024-03-14,Pleasant Lake Onshore Feeder Fund LP,TenPercentOwner,P,23892.0,7.13,170349.96,normal_buy,-0.055555504045367354
TLYS,"TILLY'S, INC.",2024-03-15,"Fund 1 Investments, LLC",TenPercentOwner,P,10000.0,6.95,69500.0,normal_buy,0.0014430345064284644
TLYS,"TILLY'S, INC.",2024-03-15,Pleasant Lake Partners LLC,TenPercentOwner,P,10000.0,6.95,69500.0,normal_buy,0.0014430345064284644
TLYS,"TILLY'S, INC.",2024-03-15,Pleasant Lake Onshore Feeder Fund LP,TenPercentOwner,P,10000.0,6.95,69500.0,normal_buy,0.0014430345064284644
TLYS,"TILLY'S, INC.",2024-03-15,"Fund 1 Investments, LLC",TenPercentOwner,P,35000.0,6.87,240450.0,large_buy,0.0014430345064284644
TLYS,"TILLY'S, INC.",2024-03-15,Pleasant Lake Partners LLC,TenPercentOwner,P,35000.0,6.87,240450.0,large_buy,0.0014430345064284644
TLYS,"TILLY'S, INC.",2024-03-15,Pleasant Lake Onshore Feeder Fund LP,TenPercentOwner,P,35000.0,6.87,240450.0,large_buy,0.0014430345064284644
TLYS,"TILLY'S, INC.",2024-03-15,"Fund 1 Investments, LLC",TenPercentOwner,P,25000.0,6.9,172500.0,normal_buy,0.0014430345064284644
TLYS,"TILLY'S, INC.",2024-03-15,Pleasant Lake Partners LLC,TenPercentOwner,P,25000.0,6.9,172500.0,normal_buy,0.0014430345064284644
TLYS,"TILLY'S, INC.",2024-03-15,Pleasant Lake Onshore Feeder Fund LP,TenPercentOwner,P,25000.0,6.9,172500.0,normal_buy,0.0014430345064284644
TLYS,"TILLY'S, INC.",2024-03-18,"Fund 1 Investments, LLC",TenPercentOwner,P,49500.0,6.84,338580.0,large_buy,-0.007352969019469913
TLYS,"TILLY'S, INC.",2024-03-18,Pleasant Lake Partners LLC,TenPercentOwner,P,49500.0,6.84,338580.0,large_buy,-0.007352969019469913
TLYS,"TILLY'S, INC.",2024-03-18,Pleasant Lake Onshore Feeder Fund LP,TenPercentOwner,P,49500.0,6.84,338580.0,large_buy,-0.007352969019469913
